Ensembl_gene	Cancer_type	Gene_name	count
ENSG00000140836	TCGA-THYM	ZFHX3	123
ENSG00000213281	TCGA-THYM	NRAS	123
ENSG00000121879	TCGA-KIRC	PIK3CA	108
ENSG00000152217	TCGA-KIRC	SETBP1	100
ENSG00000149311	TCGA-KIRC	ATM	99
ENSG00000181555	TCGA-KIRC	SETD2	98
ENSG00000138698	TCGA-KIRC	RAP1GDS1	95
ENSG00000105976	TCGA-KIRC	MET	94
ENSG00000168702	TCGA-KIRC	LRP1B	94
ENSG00000134086	TCGA-KIRC	VHL	93
ENSG00000147889	TCGA-KIRC	CDKN2A	93
ENSG00000055609	TCGA-KIRC	KMT2C	92
ENSG00000196712	TCGA-KIRC	NF1	92
ENSG00000185958	TCGA-THCA	FAM186A	91
ENSG00000125952	TCGA-KIRC	MAX	90
ENSG00000163939	TCGA-KIRC	PBRM1	89
ENSG00000173674	TCGA-THCA	EIF1AX	89
ENSG00000118058	TCGA-THCA	KMT2A	88
ENSG00000115524	TCGA-KIRC	SF3B1	87
ENSG00000141510	TCGA-KIRC	TP53	87
ENSG00000171862	TCGA-KIRC	PTEN	87
ENSG00000143322	TCGA-THCA	ABL2	87
ENSG00000197548	TCGA-KIRC	ATG7	86
ENSG00000126012	TCGA-KIRC	KDM5C	85
ENSG00000065526	TCGA-KIRC	SPEN	83
ENSG00000116731	TCGA-KIRP	PRDM2	83
ENSG00000116044	TCGA-KIRP	NFE2L2	82
ENSG00000189079	TCGA-LGG	ARID2	82
ENSG00000139263	TCGA-LUAD	LRIG3	82
ENSG00000153201	TCGA-KIRC	RANBP2	81
ENSG00000163930	TCGA-KIRC	BAP1	81
ENSG00000105976	TCGA-KIRP	MET	80
ENSG00000136352	TCGA-LGG	NKX2-1	80
ENSG00000145675	TCGA-BRCA	PIK3R1	79
ENSG00000181690	TCGA-BRCA	PLAG1	79
ENSG00000198793	TCGA-KIRC	MTOR	79
ENSG00000084676	TCGA-BRCA	NCOA1	78
ENSG00000186575	TCGA-KIRC	NF2	78
ENSG00000095015	TCGA-THCA	MAP3K1	78
ENSG00000128513	TCGA-LGG	POT1	77
ENSG00000165323	TCGA-BRCA	FAT3	76
ENSG00000079999	TCGA-KIRC	KEAP1	76
ENSG00000101972	TCGA-KIRC	STAG2	76
ENSG00000171456	TCGA-KIRC	ASXL1	76
ENSG00000257923	TCGA-THCA	CUX1	76
ENSG00000067955	TCGA-BRCA	CBFB	75
ENSG00000171862	TCGA-BRCA	PTEN	75
ENSG00000198625	TCGA-BRCA	MDM4	75
ENSG00000070756	TCGA-THCA	PABPC1	75
ENSG00000156858	TCGA-THCA	PRR14	75
ENSG00000102145	TCGA-BRCA	GATA1	74
ENSG00000117713	TCGA-KIRC	ARID1A	74
ENSG00000169032	TCGA-LUAD	MAP2K1	74
ENSG00000213281	TCGA-THCA	NRAS	74
ENSG00000044524	TCGA-BRCA	EPHA3	73
ENSG00000066468	TCGA-BRCA	FGFR2	73
ENSG00000159216	TCGA-BRCA	RUNX1	73
ENSG00000117713	TCGA-LGG	ARID1A	73
ENSG00000213281	TCGA-LGG	NRAS	73
ENSG00000135333	TCGA-THCA	EPHA7	73
ENSG00000083857	TCGA-BRCA	FAT1	72
ENSG00000117713	TCGA-BRCA	ARID1A	72
ENSG00000140836	TCGA-BRCA	ZFHX3	72
ENSG00000141367	TCGA-BRCA	CLTC	72
ENSG00000171456	TCGA-BRCA	ASXL1	72
ENSG00000169402	TCGA-LGG	RSPH10B2	72
ENSG00000163939	TCGA-LUAD	PBRM1	72
ENSG00000181555	TCGA-LUAD	SETD2	72
ENSG00000100320	TCGA-THCA	RBFOX2	72
ENSG00000168702	TCGA-BRCA	LRP1B	71
ENSG00000197535	TCGA-BRCA	MYO5A	71
ENSG00000090857	TCGA-THCA	PDPR	71
ENSG00000116016	TCGA-BRCA	EPAS1	70
ENSG00000121879	TCGA-BRCA	PIK3CA	70
ENSG00000144218	TCGA-BRCA	AFF3	70
ENSG00000146648	TCGA-BRCA	EGFR	70
ENSG00000163930	TCGA-BRCA	BAP1	70
ENSG00000157764	TCGA-KIRP	BRAF	70
ENSG00000125952	TCGA-LGG	MAX	70
ENSG00000146648	TCGA-LUAD	EGFR	70
ENSG00000039068	TCGA-BRCA	CDH1	69
ENSG00000065559	TCGA-BRCA	MAP2K4	69
ENSG00000100503	TCGA-BRCA	NIN	69
ENSG00000139687	TCGA-BRCA	RB1	69
ENSG00000156650	TCGA-BRCA	KAT6B	69
ENSG00000127616	TCGA-KIRP	SMARCA4	69
ENSG00000141736	TCGA-KIRP	ERBB2	69
ENSG00000133392	TCGA-LGG	MYH11	69
ENSG00000165238	TCGA-THCA	WNK2	69
ENSG00000183765	TCGA-THCA	CHEK2	69
ENSG00000012048	TCGA-BRCA	BRCA1	68
ENSG00000046889	TCGA-BRCA	PREX2	68
ENSG00000124693	TCGA-BRCA	HIST1H3B	68
ENSG00000129204	TCGA-BRCA	USP6	68
ENSG00000134250	TCGA-BRCA	NOTCH2	68
ENSG00000244405	TCGA-BRCA	ETV5	68
